gr_id,PM25,O3,AQI
0,7.0,55.99999999999999,29.166666666666668
1,7.0,55.99999999999999,29.166666666666668
2,7.0,55.99999999999999,29.166666666666668
3,7.0,55.99999999999999,29.166666666666668
4,7.0,55.99999999999999,29.166666666666668
5,7.0,55.99999999999999,29.166666666666668
6,7.0,55.99999999999999,42.29166666666667
7,7.0,55.99999999999999,42.29166666666667
8,7.0,55.99999999999999,42.29166666666667
9,7.0,55.99999999999999,42.29166666666667
10,9.8,55.99999999999999,42.29166666666667
11,9.8,55.99999999999999,42.29166666666667
12,9.8,55.99999999999999,40.833333333333336
13,9.8,55.99999999999999,40.833333333333336
14,9.8,55.99999999999999,40.833333333333336
15,9.8,55.99999999999999,40.833333333333336
16,9.8,55.99999999999999,40.833333333333336
17,9.8,55.99999999999999,40.833333333333336
18,9.8,48.0,40.833333333333336
19,9.8,48.0,40.833333333333336
20,8.2,48.0,34.166666666666664
21,8.2,48.0,34.166666666666664
22,8.2,48.0,34.166666666666664
23,8.2,48.0,34.166666666666664
24,8.2,48.0,47.395833333333336
25,7.0,55.99999999999999,29.166666666666668
26,7.0,55.99999999999999,29.166666666666668
27,7.0,55.99999999999999,29.166666666666668
28,7.0,55.99999999999999,29.166666666666668
29,7.0,55.99999999999999,29.166666666666668
30,7.0,55.99999999999999,29.166666666666668
31,7.0,55.99999999999999,42.29166666666667
32,7.0,55.99999999999999,42.29166666666667
33,7.0,55.99999999999999,42.29166666666667
34,12.2,55.99999999999999,42.29166666666667
35,9.8,55.99999999999999,42.29166666666667
36,9.8,55.99999999999999,42.29166666666667
37,9.8,55.99999999999999,40.833333333333336
38,9.8,55.99999999999999,40.833333333333336
39,9.8,55.99999999999999,40.833333333333336
40,9.8,55.99999999999999,40.833333333333336
41,9.8,55.99999999999999,40.833333333333336
42,9.8,55.99999999999999,40.833333333333336
43,9.8,48.0,40.833333333333336
44,8.2,48.0,34.166666666666664
45,8.2,48.0,34.166666666666664
46,8.2,48.0,34.166666666666664
47,8.2,48.0,34.166666666666664
48,8.2,48.0,47.395833333333336
49,8.2,48.0,47.395833333333336
50,7.0,55.99999999999999,29.166666666666668
51,7.0,55.99999999999999,29.166666666666668
52,7.0,55.99999999999999,29.166666666666668
53,7.0,55.99999999999999,29.166666666666668
54,7.0,55.99999999999999,29.166666666666668
55,7.0,55.99999999999999,29.166666666666668
